variable,type,analysed_median_IQR,dropped_median_IQR,test,p_value,q_value_BH
allergan2V2,categorical,mode=Mild (50%),mode=Mild (21%),Chi-square,0.0036,0.0796
allerganV2,categorical,mode=Mild (54%),mode=Mild (21%),Chi-square,0.0043,0.0796
volumeRV0,numeric,39.00 (23.12-59.82),63.52 (28.98-93.19),Mann-Whitney U,0.0113,0.1073
densityV0,numeric,32.13 (25.26-38.77),26.55 (22.39-31.57),Mann-Whitney U,0.0123,0.1073
pain,numeric,4.00 (2.00-6.00),5.00 (3.00-7.00),Mann-Whitney U,0.0145,0.1073
volumeRV3,numeric,29.03 (16.41-45.88),41.21 (28.46-64.66),Mann-Whitney U,0.0239,0.1406
areaRV0,numeric,3.83 (2.35-5.68),5.22 (2.85-7.89),Mann-Whitney U,0.0266,0.1406
areaRV3,numeric,2.77 (1.81-4.19),3.81 (2.40-5.51),Mann-Whitney U,0.0332,0.1536
satisfactionV2,numeric,8.50 (7.00-10.00),8.00 (5.75-9.00),Mann-Whitney U,0.0434,0.1784
areaLV0,numeric,3.92 (2.80-5.92),5.04 (3.25-7.38),Mann-Whitney U,0.0563,0.1847
volumeLV0,numeric,40.67 (26.22-65.75),57.16 (29.44-81.51),Mann-Whitney U,0.0593,0.1847
age,numeric,46.00 (40.00-53.50),52.00 (42.50-56.00),Mann-Whitney U,0.0599,0.1847
thicknessV2,numeric,1480.50 (1283.00-1717.00),1625.00 (1346.00-2066.00),Mann-Whitney U,0.0752,0.207
areaRV2,numeric,2.75 (1.83-4.13),3.80 (2.23-5.37),Mann-Whitney U,0.0793,0.207
areaLV3,numeric,3.12 (1.79-4.49),3.87 (2.37-4.89),Mann-Whitney U,0.0875,0.207
volumeLV3,numeric,31.88 (16.95-50.79),39.11 (23.28-63.12),Mann-Whitney U,0.09,0.207
volumeRV2,numeric,29.48 (20.05-44.94),39.75 (22.53-64.10),Mann-Whitney U,0.0951,0.207
allerganV3,categorical,mode=Moderate (51%),mode=Moderate (36%),Chi-square,0.1043,0.2144
depthRV3,numeric,10.00 (9.00-11.00),11.00 (9.00-11.00),Mann-Whitney U,0.1146,0.2232
thicknessV0,numeric,1516.00 (1343.50-1769.50),1609.00 (1390.50-1914.00),Mann-Whitney U,0.1263,0.2337
allergan2V3,categorical,mode=Moderate (41%),mode=Moderate (31%),Chi-square,0.2008,0.3538
allergan2V0,categorical,mode=Moderate (58%),mode=Moderate (41%),Chi-square,0.2177,0.3661
depthRV0,numeric,10.00 (9.00-10.00),10.00 (9.00-10.00),Mann-Whitney U,0.3772,0.5655
areaLV2,numeric,2.94 (1.82-4.66),3.23 (2.20-4.93),Mann-Whitney U,0.3828,0.5655
volumeLV2,numeric,33.11 (18.37-51.43),33.63 (22.13-54.04),Mann-Whitney U,0.3951,0.5655
allerganV0,categorical,mode=Moderate (63%),mode=Moderate (62%),Chi-square,0.3974,0.5655
depthLV3,numeric,10.00 (9.00-11.00),10.00 (9.00-12.00),Mann-Whitney U,0.4508,0.6108
injectionL,numeric,1.00 (0.55-1.00),1.00 (0.70-1.00),Mann-Whitney U,0.4625,0.6108
totalinjectionV1,numeric,2.00 (1.10-2.00),2.00 (1.40-2.00),Mann-Whitney U,0.4787,0.6108
group,categorical,mode=lonagel (15%),mode=lonagel (13%),Chi-square,0.515,0.6228
depthLV0,numeric,10.00 (9.00-11.00),10.00 (9.00-11.00),Mann-Whitney U,0.524,0.6228
injectionR,numeric,1.00 (0.55-1.00),1.00 (0.70-1.00),Mann-Whitney U,0.5386,0.6228
sex,categorical,mode=female (89%),mode=female (92%),Chi-square,0.7343,0.8137
densityV2,numeric,32.97 (25.49-40.07),29.91 (24.51-42.61),Mann-Whitney U,0.7574,0.8137
depthRV2,numeric,10.00 (9.00-11.00),10.00 (9.00-11.00),Mann-Whitney U,0.7697,0.8137
depthLV2,numeric,10.00 (9.00-11.00),10.00 (9.00-11.00),Mann-Whitney U,0.8297,0.8527
satisfactionV3,numeric,8.00 (6.00-10.00),8.00 (5.00-10.00),Mann-Whitney U,0.9074,0.9074
