,,Grouped by failure,Grouped by failure,Grouped by failure,Grouped by failure,Grouped by failure
,,Missing,Overall,0,1,P-Value
n,,,171,121,50,
"group, n (%)",lonagel,,25 (14.6),19 (15.7),6 (12.0),0.032
"group, n (%)",mizan,,25 (14.6),22 (18.2),3 (6.0),
"group, n (%)",nuxiwell,,27 (15.8),19 (15.7),8 (16.0),
"group, n (%)",perjuns,,24 (14.0),13 (10.7),11 (22.0),
"group, n (%)",pouya,,26 (15.2),14 (11.6),12 (24.0),
"group, n (%)",stylux,,23 (13.5),20 (16.5),3 (6.0),
"group, n (%)",w&o,,21 (12.3),14 (11.6),7 (14.0),
"age, mean (SD)",,0,46.7 (8.7),46.7 (8.8),46.6 (8.4),0.934
"sex, n (%)",female,,152 (88.9),108 (89.3),44 (88.0),1.000
"sex, n (%)",male,,19 (11.1),13 (10.7),6 (12.0),
"allerganV0, n (%)",Mild,,7 (4.1),7 (5.8),0 (0.0),0.055
"allerganV0, n (%)",Moderate,,107 (62.6),79 (65.3),28 (56.0),
"allerganV0, n (%)",Severe,,57 (33.3),35 (28.9),22 (44.0),
"allergan2V0, n (%)",Mild,,1 (0.6),1 (0.8),0 (0.0),0.216
"allergan2V0, n (%)",Moderate,,99 (57.9),74 (61.2),25 (50.0),
"allergan2V0, n (%)",None,,1 (0.6),0 (0.0),1 (2.0),
"allergan2V0, n (%)",Severe,,70 (40.9),46 (38.0),24 (48.0),
"depthRV0, median [Q1,Q3]",,0,"10.0 [9.0,10.0]","9.0 [9.0,10.0]","10.0 [9.0,10.0]",0.791
"areaRV0, median [Q1,Q3]",,0,"3.8 [2.3,5.7]","3.8 [2.4,5.5]","4.0 [2.4,6.0]",0.839
"volumeRV0, median [Q1,Q3]",,0,"39.0 [23.1,59.8]","37.5 [22.8,59.6]","40.1 [23.5,64.8]",0.897
"depthLV0, median [Q1,Q3]",,0,"10.0 [9.0,11.0]","10.0 [9.0,10.0]","10.0 [9.0,11.0]",0.360
"areaLV0, median [Q1,Q3]",,0,"3.9 [2.8,5.9]","3.9 [2.8,5.8]","4.0 [2.8,6.2]",0.752
"volumeLV0, median [Q1,Q3]",,0,"40.7 [26.2,65.7]","40.6 [26.2,65.1]","41.6 [26.6,69.6]",0.770
"thicknessV0, median [Q1,Q3]",,0,"1516.0 [1343.5,1769.5]","1500.0 [1312.0,1773.0]","1523.5 [1391.0,1762.0]",0.539
"densityV0, median [Q1,Q3]",,0,"32.1 [25.3,38.8]","33.0 [25.6,38.7]","30.6 [23.4,39.6]",0.454
"injectionR, mean (SD)",,0,0.8 (0.2),0.8 (0.2),0.8 (0.2),0.696
"injectionL, mean (SD)",,0,0.8 (0.2),0.8 (0.2),0.8 (0.2),0.547
"totalinjectionV1, mean (SD)",,0,1.7 (0.4),1.7 (0.4),1.6 (0.4),0.617
"pain, median [Q1,Q3]",,0,"4.0 [2.0,6.0]","4.0 [2.0,5.0]","5.0 [3.0,6.0]",0.061
