,,Grouped by failure,Grouped by failure,Grouped by failure,Grouped by failure,Grouped by failure
,,Missing,Overall,0,1,P-Value
n,,,171,121,50,
"satisfactionV2, median [Q1,Q3]",,9,"8.5 [7.0,10.0]","9.0 [8.0,10.0]","8.0 [6.0,9.0]",<0.001
"satisfactionV3, median [Q1,Q3]",,6,"8.0 [6.0,10.0]","8.0 [7.0,10.0]","5.0 [4.0,7.0]",<0.001
"allerganV2, n (%)",Mild,,92 (53.8),71 (58.7),21 (42.0),0.013
"allerganV2, n (%)",Moderate,,56 (32.7),32 (26.4),24 (48.0),
"allerganV2, n (%)",None,,20 (11.7),17 (14.0),3 (6.0),
"allerganV2, n (%)",Severe,,3 (1.8),1 (0.8),2 (4.0),
"allergan2V2, n (%)",Mild,,86 (50.3),64 (52.9),22 (44.0),0.057
"allergan2V2, n (%)",Moderate,,58 (33.9),37 (30.6),21 (42.0),
"allergan2V2, n (%)",None,,23 (13.5),19 (15.7),4 (8.0),
"allergan2V2, n (%)",Severe,,4 (2.3),1 (0.8),3 (6.0),
"allerganV3, n (%)",Mild,,66 (38.6),50 (41.3),16 (32.0),0.065
"allerganV3, n (%)",Moderate,,87 (50.9),59 (48.8),28 (56.0),
"allerganV3, n (%)",None,,10 (5.8),9 (7.4),1 (2.0),
"allerganV3, n (%)",Severe,,8 (4.7),3 (2.5),5 (10.0),
"allergan2V3, n (%)",Extreme,,1 (0.6),0 (0.0),1 (2.0),0.128
"allergan2V3, n (%)",Mild,,72 (42.1),55 (45.5),17 (34.0),
"allergan2V3, n (%)",Moderate,,70 (40.9),46 (38.0),24 (48.0),
"allergan2V3, n (%)",None,,14 (8.2),12 (9.9),2 (4.0),
"allergan2V3, n (%)",Severe,,14 (8.2),8 (6.6),6 (12.0),
"depthRV2, median [Q1,Q3]",,9,"10.0 [9.0,11.0]","10.0 [9.0,11.0]","10.0 [9.0,11.0]",0.492
"areaRV2, median [Q1,Q3]",,9,"2.7 [1.8,4.1]","2.9 [2.0,4.1]","2.5 [1.5,3.9]",0.326
"volumeRV2, median [Q1,Q3]",,9,"29.5 [20.0,44.9]","30.9 [21.2,45.0]","25.6 [14.9,38.9]",0.291
"depthLV2, median [Q1,Q3]",,9,"10.0 [9.0,11.0]","10.0 [9.0,11.0]","10.0 [9.0,11.0]",0.241
"areaLV2, median [Q1,Q3]",,9,"2.9 [1.8,4.7]","3.0 [2.3,4.7]","2.7 [1.6,4.6]",0.313
"volumeLV2, median [Q1,Q3]",,9,"33.1 [18.4,51.4]","33.8 [22.7,50.5]","24.8 [14.8,51.6]",0.291
"thicknessV2, median [Q1,Q3]",,9,"1480.5 [1283.0,1717.0]","1500.0 [1312.0,1695.0]","1469.0 [1258.0,1734.0]",0.622
"densityV2, median [Q1,Q3]",,9,"33.0 [25.5,40.1]","33.2 [26.9,39.2]","29.8 [24.6,40.2]",0.492
"depthRV3, median [Q1,Q3]",,6,"10.0 [9.0,11.0]","10.0 [9.0,11.0]","9.0 [9.0,10.0]",0.072
"areaRV3, median [Q1,Q3]",,6,"2.8 [1.8,4.2]","2.8 [1.9,3.9]","2.8 [1.6,4.5]",0.631
"volumeRV3, median [Q1,Q3]",,6,"29.0 [16.4,45.9]","29.1 [17.9,44.6]","27.9 [15.1,47.8]",0.445
"depthLV3, median [Q1,Q3]",,6,"10.0 [9.0,11.0]","10.0 [9.0,11.0]","10.0 [9.0,11.0]",0.479
"areaLV3, median [Q1,Q3]",,6,"3.1 [1.8,4.5]","3.2 [1.9,4.5]","2.6 [1.5,4.4]",0.521
"volumeLV3, median [Q1,Q3]",,6,"31.9 [17.0,50.8]","34.3 [18.6,49.6]","29.4 [13.4,53.8]",0.500
