auc,average_precision,brier,accuracy,balanced_accuracy,f1,mcc,sensitivity,specificity,ppv,npv,model,imputation,fold,n_test,fit_seconds
0.6400000000000001,0.5009263362085943,0.24366019026725877,0.6,0.5700000000000001,0.4166666666666667,0.12909944487358058,0.5,0.64,0.35714285714285715,0.7619047619047619,Logistic Regression (L2),1,1,35,6.78
0.864,0.6785973084886128,0.22142365416646095,0.7714285714285715,0.66,0.5,0.3835706411883073,0.4,0.92,0.6666666666666666,0.7931034482758621,Elastic-Net Logistic,1,1,35,8.11
0.812,0.5371114506408624,0.17464745169850993,0.6857142857142857,0.51,0.15384615384615385,0.032274861218395144,0.1,0.92,0.3333333333333333,0.71875,Random Forest,1,1,35,18.92
0.772,0.5693424171287949,0.17594172113490206,0.7142857142857143,0.59,0.375,0.21575848566842284,0.3,0.88,0.5,0.7586206896551724,Extra Trees,1,1,35,15.71
0.7560000000000001,0.585231386260798,0.1790279574214275,0.7428571428571429,0.55,0.18181818181818182,0.2711630722733202,0.1,1.0,1.0,0.7352941176470589,SVM (RBF),1,1,35,23.72
0.804,0.527536231884058,0.17907289018669623,0.7714285714285715,0.66,0.5,0.3835706411883073,0.4,0.92,0.6666666666666666,0.7931034482758621,AdaBoost,1,1,35,15.55
0.8280000000000001,0.5642224442224443,0.17749382555484772,0.6857142857142857,0.48,0.0,-0.10846522890932808,0.0,0.96,0.0,0.7058823529411765,XGBoost,1,1,35,11.75
0.8240000000000001,0.5668704906204907,0.16628420419348552,0.7428571428571429,0.6699999999999999,0.5263157894736842,0.3514317480027573,0.5,0.84,0.5555555555555556,0.8076923076923077,LightGBM,1,1,35,11.7
0.7208333333333333,0.6478461634983375,0.2336956949574337,0.7352941176470589,0.6958333333333333,0.5714285714285714,0.3814713902868446,0.6,0.7916666666666666,0.5454545454545454,0.8260869565217391,Logistic Regression (L2),1,2,34,6.97
0.73125,0.5594789494131599,0.2253395040602196,0.6764705882352942,0.625,0.47619047619047616,0.243492376778837,0.5,0.75,0.45454545454545453,0.782608695652174,Elastic-Net Logistic,1,2,34,8.28
0.6625,0.41964818987065067,0.2045652432783391,0.6470588235294118,0.5458333333333333,0.3333333333333333,0.09846579518042202,0.3,0.7916666666666666,0.375,0.7307692307692307,Random Forest,1,2,34,18.39
0.7166666666666667,0.5302020202020202,0.19887472035067538,0.6764705882352942,0.5958333333333333,0.42105263157894735,0.1979524821394902,0.4,0.7916666666666666,0.4444444444444444,0.76,Extra Trees,1,2,34,16.06
0.5375000000000001,0.42035510642321783,0.21098814043775335,0.7058823529411765,0.5,0.0,0.0,0.0,1.0,,0.7058823529411765,SVM (RBF),1,2,34,24.44
0.73125,0.44866140395552156,0.1884052826098723,0.6764705882352942,0.5958333333333333,0.42105263157894735,0.1979524821394902,0.4,0.7916666666666666,0.4444444444444444,0.76,AdaBoost,1,2,34,15.79
0.6666666666666666,0.5029347041847042,0.19580721855163574,0.6470588235294118,0.5166666666666667,0.25,0.03984095364447979,0.2,0.8333333333333334,0.3333333333333333,0.7142857142857143,XGBoost,1,2,34,10.77
0.6708333333333334,0.5344747951539123,0.2267077618588785,0.6470588235294118,0.6333333333333333,0.5,0.24688535993934707,0.6,0.6666666666666666,0.42857142857142855,0.8,LightGBM,1,2,34,10.91
0.8666666666666667,0.6489319452477347,0.2087885212006506,0.7647058823529411,0.775,0.6666666666666666,0.5092010548749033,0.8,0.75,0.5714285714285714,0.9,Logistic Regression (L2),1,3,34,7.08
0.875,0.745376559714795,0.18006584196934142,0.7647058823529411,0.8041666666666667,0.6923076923076923,0.5553298152482934,0.9,0.7083333333333334,0.5625,0.9444444444444444,Elastic-Net Logistic,1,3,34,8.51
0.775,0.5683561607474651,0.17455289478389907,0.7352941176470589,0.725,0.6086956521739131,0.42192650784464586,0.7,0.75,0.5384615384615384,0.8571428571428571,Random Forest,1,3,34,18.54
0.85,0.6472394220846234,0.16402982803849478,0.7647058823529411,0.7458333333333333,0.6363636363636364,0.46878577304574953,0.7,0.7916666666666666,0.5833333333333334,0.8636363636363636,Extra Trees,1,3,34,16.45
0.7708333333333333,0.5227789601702646,0.18678823432673167,0.7058823529411765,0.5,0.0,0.0,0.0,1.0,,0.7058823529411765,SVM (RBF),1,3,34,25.73
0.78125,0.4969230769230769,0.16699895298902814,0.7352941176470589,0.725,0.6086956521739131,0.42192650784464586,0.7,0.75,0.5384615384615384,0.8571428571428571,AdaBoost,1,3,34,16.28
0.7333333333333334,0.5953356632459017,0.17280824482440948,0.7352941176470589,0.6083333333333333,0.4,0.27874925905782666,0.3,0.9166666666666666,0.6,0.7586206896551724,XGBoost,1,3,34,11.4
0.6791666666666667,0.5124404761904762,0.20674347282073924,0.6470588235294118,0.5166666666666667,0.25,0.03984095364447979,0.2,0.8333333333333334,0.3333333333333333,0.7142857142857143,LightGBM,1,3,34,11.29
0.5791666666666667,0.3979968601659778,0.3759231228563829,0.5294117647058824,0.55,0.42857142857142855,0.09128709291752769,0.6,0.5,0.3333333333333333,0.75,Logistic Regression (L2),1,4,34,7.04
0.9062499999999999,0.8642917267917267,0.22804251863121852,0.6470588235294118,0.7208333333333333,0.6,0.4089038773995436,0.9,0.5416666666666666,0.45,0.9285714285714286,Elastic-Net Logistic,1,4,34,8.05
0.6291666666666668,0.37357935279374904,0.2084176653346365,0.6176470588235294,0.5541666666666667,0.38095238095238093,0.10551336327082937,0.4,0.7083333333333334,0.36363636363636365,0.7391304347826086,Random Forest,1,4,34,18.53
0.6708333333333333,0.4867032967032967,0.21557223341267495,0.7058823529411765,0.675,0.5454545454545454,0.3337119062359573,0.6,0.75,0.5,0.8181818181818182,Extra Trees,1,4,34,16.46
0.3333333333333333,0.2721001036657731,0.2139801904239244,0.7058823529411765,0.5,0.0,0.0,0.0,1.0,,0.7058823529411765,SVM (RBF),1,4,34,24.17
0.71875,0.4394827586206897,0.18060944657822214,0.7058823529411765,0.5,0.0,0.0,0.0,1.0,,0.7058823529411765,AdaBoost,1,4,34,15.2
0.7416666666666667,0.593116883116883,0.18129874765872955,0.7352941176470589,0.5791666666666667,0.3076923076923077,0.2543527874857913,0.2,0.9583333333333334,0.6666666666666666,0.7419354838709677,XGBoost,1,4,34,11.43
0.675,0.40156870906870906,0.22177539560874995,0.6764705882352942,0.6541666666666667,0.5217391304347826,0.2890977924120722,0.6,0.7083333333333334,0.46153846153846156,0.8095238095238095,LightGBM,1,4,34,11.12
0.6125,0.3787284070391031,0.23366340451846257,0.6176470588235294,0.525,0.3157894736842105,0.051639777949432225,0.3,0.75,0.3333333333333333,0.72,Logistic Regression (L2),1,5,34,7.08
0.74375,0.5150528611694314,0.22673318870358153,0.7941176470588235,0.7083333333333333,0.5882352941176471,0.4695301415158425,0.5,0.9166666666666666,0.7142857142857143,0.8148148148148148,Elastic-Net Logistic,1,5,34,7.4
0.6041666666666666,0.3962337662337662,0.2139229590915603,0.6470588235294118,0.4875,0.14285714285714285,-0.035355339059327376,0.1,0.875,0.25,0.7,Random Forest,1,5,34,18.16
0.6958333333333333,0.4215729746689499,0.20591526566653254,0.6176470588235294,0.4666666666666667,0.13333333333333333,-0.08576900278702358,0.1,0.8333333333333334,0.2,0.6896551724137931,Extra Trees,1,5,34,16.76
0.5708333333333333,0.4307513849212141,0.21198284051861216,0.6764705882352942,0.5083333333333333,0.15384615384615385,0.026773977630083295,0.1,0.9166666666666666,0.3333333333333333,0.7096774193548387,SVM (RBF),1,5,34,23.86
0.75,0.5196602119108513,0.17582131553871116,0.7058823529411765,0.5,0.0,0.0,0.0,1.0,,0.7058823529411765,AdaBoost,1,5,34,15.69
0.6166666666666667,0.4257839858688755,0.22469887137413025,0.5882352941176471,0.5625,0.4166666666666667,0.11572751247156894,0.5,0.625,0.35714285714285715,0.75,XGBoost,1,5,34,11.28
0.6000000000000001,0.37853246753246755,0.24660752251541643,0.6176470588235294,0.525,0.3157894736842105,0.051639777949432225,0.3,0.75,0.3333333333333333,0.72,LightGBM,1,5,34,10.93
0.724,0.5648019854541594,0.21436393681799876,0.6857142857142857,0.63,0.47619047619047616,0.25301215685249495,0.5,0.76,0.45454545454545453,0.7916666666666666,Logistic Regression (L2),2,1,35,6.88
0.86,0.6731860530773573,0.2216239653998948,0.7714285714285715,0.66,0.5,0.3835706411883073,0.4,0.92,0.6666666666666666,0.7931034482758621,Elastic-Net Logistic,2,1,35,8.25
0.8160000000000001,0.5594208803415965,0.17172316751611402,0.7428571428571429,0.61,0.4,0.28401877872187725,0.3,0.92,0.6,0.7666666666666667,Random Forest,2,1,35,19.04
0.76,0.5928671380219368,0.17700153769270818,0.7142857142857143,0.59,0.375,0.21575848566842284,0.3,0.88,0.5,0.7586206896551724,Extra Trees,2,1,35,16.16
0.7560000000000001,0.585231386260798,0.17962551329467272,0.7428571428571429,0.55,0.18181818181818182,0.2711630722733202,0.1,1.0,1.0,0.7352941176470589,SVM (RBF),2,1,35,24.98
0.804,0.527536231884058,0.17907289018669623,0.7714285714285715,0.66,0.5,0.3835706411883073,0.4,0.92,0.6666666666666666,0.7931034482758621,AdaBoost,2,1,35,16.03
0.8280000000000001,0.5712212349054454,0.1781120002269745,0.6857142857142857,0.48,0.0,-0.10846522890932808,0.0,0.96,0.0,0.7058823529411765,XGBoost,2,1,35,11.3
0.8160000000000001,0.540203823953824,0.16850200859859485,0.7428571428571429,0.6699999999999999,0.5263157894736842,0.3514317480027573,0.5,0.84,0.5555555555555556,0.8076923076923077,LightGBM,2,1,35,11.13
0.7208333333333333,0.6478461634983375,0.2343070135036799,0.6764705882352942,0.6541666666666667,0.5217391304347826,0.2890977924120722,0.6,0.7083333333333334,0.46153846153846156,0.8095238095238095,Logistic Regression (L2),2,2,34,6.99
