model,imputation,fold,best_inner_auc,best_params
Logistic Regression (L2),1,1,0.5434,"{""model__C"": ""0.05""}"
Elastic-Net Logistic,1,1,0.6128,"{""model__C"": ""0.1"", ""model__l1_ratio"": ""0.85""}"
Random Forest,1,1,0.4641,"{""model__n_estimators"": ""400"", ""model__min_samples_split"": ""5"", ""model__min_samples_leaf"": ""1"", ""model__max_features"": ""0.3"", ""model__max_depth"": ""3""}"
Extra Trees,1,1,0.5117,"{""model__n_estimators"": ""200"", ""model__min_samples_leaf"": ""5"", ""model__max_features"": ""sqrt"", ""model__max_depth"": ""5""}"
SVM (RBF),1,1,0.5081,"{""model__C"": ""0.5"", ""model__gamma"": ""0.01""}"
AdaBoost,1,1,0.4928,"{""model__n_estimators"": ""200"", ""model__learning_rate"": ""0.01"", ""model__estimator__min_samples_leaf"": ""5"", ""model__estimator__max_depth"": ""1""}"
XGBoost,1,1,0.4766,"{""model__subsample"": ""0.85"", ""model__scale_pos_weight"": ""1.0"", ""model__reg_lambda"": ""5.0"", ""model__n_estimators"": ""200"", ""model__min_child_weight"": ""3"", ""model__max_depth"": ""4"", ""model__learning_rate"": ""0.01"", ""model__colsample_bytree"": ""0.7""}"
LightGBM,1,1,0.4897,"{""model__subsample_freq"": ""1"", ""model__subsample"": ""0.85"", ""model__reg_lambda"": ""5.0"", ""model__num_leaves"": ""7"", ""model__n_estimators"": ""600"", ""model__min_child_samples"": ""20"", ""model__max_depth"": ""3"", ""model__learning_rate"": ""0.01"", ""model__colsample_bytree"": ""0.7""}"
Logistic Regression (L2),1,2,0.5472,"{""model__C"": ""0.01""}"
Elastic-Net Logistic,1,2,0.539,"{""model__C"": ""0.1"", ""model__l1_ratio"": ""0.15""}"
Random Forest,1,2,0.4597,"{""model__n_estimators"": ""400"", ""model__min_samples_split"": ""2"", ""model__min_samples_leaf"": ""5"", ""model__max_features"": ""0.5"", ""model__max_depth"": ""8""}"
Extra Trees,1,2,0.5178,"{""model__n_estimators"": ""600"", ""model__min_samples_leaf"": ""5"", ""model__max_features"": ""0.3"", ""model__max_depth"": ""8""}"
SVM (RBF),1,2,0.5765,"{""model__C"": ""0.5"", ""model__gamma"": ""0.3""}"
AdaBoost,1,2,0.4996,"{""model__n_estimators"": ""200"", ""model__learning_rate"": ""0.01"", ""model__estimator__min_samples_leaf"": ""5"", ""model__estimator__max_depth"": ""1""}"
XGBoost,1,2,0.4622,"{""model__subsample"": ""0.85"", ""model__scale_pos_weight"": ""3.0"", ""model__reg_lambda"": ""10.0"", ""model__n_estimators"": ""200"", ""model__min_child_weight"": ""3"", ""model__max_depth"": ""3"", ""model__learning_rate"": ""0.01"", ""model__colsample_bytree"": ""0.7""}"
LightGBM,1,2,0.453,"{""model__subsample_freq"": ""1"", ""model__subsample"": ""1.0"", ""model__reg_lambda"": ""1.0"", ""model__num_leaves"": ""31"", ""model__n_estimators"": ""400"", ""model__min_child_samples"": ""10"", ""model__max_depth"": ""-1"", ""model__learning_rate"": ""0.01"", ""model__colsample_bytree"": ""0.7""}"
Logistic Regression (L2),1,3,0.5406,"{""model__C"": ""1""}"
Elastic-Net Logistic,1,3,0.539,"{""model__C"": ""1.0"", ""model__l1_ratio"": ""0.15""}"
Random Forest,1,3,0.4649,"{""model__n_estimators"": ""200"", ""model__min_samples_split"": ""5"", ""model__min_samples_leaf"": ""1"", ""model__max_features"": ""0.5"", ""model__max_depth"": ""None""}"
Extra Trees,1,3,0.5242,"{""model__n_estimators"": ""600"", ""model__min_samples_leaf"": ""1"", ""model__max_features"": ""0.5"", ""model__max_depth"": ""5""}"
SVM (RBF),1,3,0.5382,"{""model__C"": ""3"", ""model__gamma"": ""0.01""}"
AdaBoost,1,3,0.5627,"{""model__n_estimators"": ""100"", ""model__learning_rate"": ""0.03"", ""model__estimator__min_samples_leaf"": ""2"", ""model__estimator__max_depth"": ""3""}"
XGBoost,1,3,0.5156,"{""model__subsample"": ""1.0"", ""model__scale_pos_weight"": ""1.0"", ""model__reg_lambda"": ""10.0"", ""model__n_estimators"": ""600"", ""model__min_child_weight"": ""3"", ""model__max_depth"": ""3"", ""model__learning_rate"": ""0.1"", ""model__colsample_bytree"": ""0.85""}"
LightGBM,1,3,0.5301,"{""model__subsample_freq"": ""1"", ""model__subsample"": ""0.85"", ""model__reg_lambda"": ""5.0"", ""model__num_leaves"": ""15"", ""model__n_estimators"": ""600"", ""model__min_child_samples"": ""20"", ""model__max_depth"": ""5"", ""model__learning_rate"": ""0.1"", ""model__colsample_bytree"": ""0.85""}"
Logistic Regression (L2),1,4,0.6572,"{""model__C"": ""10""}"
Elastic-Net Logistic,1,4,0.6262,"{""model__C"": ""1.0"", ""model__l1_ratio"": ""0.15""}"
Random Forest,1,4,0.507,"{""model__n_estimators"": ""200"", ""model__min_samples_split"": ""2"", ""model__min_samples_leaf"": ""3"", ""model__max_features"": ""0.5"", ""model__max_depth"": ""8""}"
Extra Trees,1,4,0.6116,"{""model__n_estimators"": ""400"", ""model__min_samples_leaf"": ""3"", ""model__max_features"": ""0.5"", ""model__max_depth"": ""5""}"
SVM (RBF),1,4,0.5813,"{""model__C"": ""30"", ""model__gamma"": ""0.01""}"
