model,imputation,fold,best_inner_auc,best_params
Logistic Regression (L2),1,1,0.6679,"{""model__C"": ""0.001""}"
Elastic-Net Logistic,1,1,0.7938,"{""model__C"": ""0.01"", ""model__l1_ratio"": ""0.15""}"
Random Forest,1,1,0.7061,"{""model__n_estimators"": ""600"", ""model__min_samples_split"": ""5"", ""model__min_samples_leaf"": ""5"", ""model__max_features"": ""0.3"", ""model__max_depth"": ""8""}"
Extra Trees,1,1,0.6873,"{""model__n_estimators"": ""400"", ""model__min_samples_leaf"": ""3"", ""model__max_features"": ""0.5"", ""model__max_depth"": ""5""}"
SVM (RBF),1,1,0.606,"{""model__C"": ""0.5"", ""model__gamma"": ""0.01""}"
AdaBoost,1,1,0.76,"{""model__n_estimators"": ""50"", ""model__learning_rate"": ""0.03"", ""model__estimator__min_samples_leaf"": ""2"", ""model__estimator__max_depth"": ""1""}"
XGBoost,1,1,0.7141,"{""model__subsample"": ""0.85"", ""model__scale_pos_weight"": ""1.0"", ""model__reg_lambda"": ""5.0"", ""model__n_estimators"": ""200"", ""model__min_child_weight"": ""3"", ""model__max_depth"": ""4"", ""model__learning_rate"": ""0.01"", ""model__colsample_bytree"": ""0.7""}"
LightGBM,1,1,0.7114,"{""model__subsample_freq"": ""1"", ""model__subsample"": ""0.85"", ""model__reg_lambda"": ""5.0"", ""model__num_leaves"": ""7"", ""model__n_estimators"": ""600"", ""model__min_child_samples"": ""20"", ""model__max_depth"": ""3"", ""model__learning_rate"": ""0.01"", ""model__colsample_bytree"": ""0.7""}"
Logistic Regression (L2),1,2,0.6829,"{""model__C"": ""0.001""}"
Elastic-Net Logistic,1,2,0.8275,"{""model__C"": ""0.01"", ""model__l1_ratio"": ""0.15""}"
Random Forest,1,2,0.7032,"{""model__n_estimators"": ""200"", ""model__min_samples_split"": ""2"", ""model__min_samples_leaf"": ""3"", ""model__max_features"": ""0.5"", ""model__max_depth"": ""8""}"
Extra Trees,1,2,0.7582,"{""model__n_estimators"": ""400"", ""model__min_samples_leaf"": ""3"", ""model__max_features"": ""0.5"", ""model__max_depth"": ""5""}"
SVM (RBF),1,2,0.7078,"{""model__C"": ""0.1"", ""model__gamma"": ""0.03""}"
AdaBoost,1,2,0.7742,"{""model__n_estimators"": ""50"", ""model__learning_rate"": ""0.03"", ""model__estimator__min_samples_leaf"": ""2"", ""model__estimator__max_depth"": ""1""}"
XGBoost,1,2,0.723,"{""model__subsample"": ""0.85"", ""model__scale_pos_weight"": ""1.0"", ""model__reg_lambda"": ""5.0"", ""model__n_estimators"": ""200"", ""model__min_child_weight"": ""3"", ""model__max_depth"": ""4"", ""model__learning_rate"": ""0.01"", ""model__colsample_bytree"": ""0.7""}"
LightGBM,1,2,0.7213,"{""model__subsample_freq"": ""1"", ""model__subsample"": ""0.85"", ""model__reg_lambda"": ""5.0"", ""model__num_leaves"": ""7"", ""model__n_estimators"": ""600"", ""model__min_child_samples"": ""20"", ""model__max_depth"": ""3"", ""model__learning_rate"": ""0.01"", ""model__colsample_bytree"": ""0.7""}"
Logistic Regression (L2),1,3,0.6711,"{""model__C"": ""0.01""}"
Elastic-Net Logistic,1,3,0.7848,"{""model__C"": ""0.1"", ""model__l1_ratio"": ""0.85""}"
Random Forest,1,3,0.7136,"{""model__n_estimators"": ""200"", ""model__min_samples_split"": ""2"", ""model__min_samples_leaf"": ""1"", ""model__max_features"": ""0.5"", ""model__max_depth"": ""3""}"
Extra Trees,1,3,0.7043,"{""model__n_estimators"": ""400"", ""model__min_samples_leaf"": ""3"", ""model__max_features"": ""0.5"", ""model__max_depth"": ""5""}"
SVM (RBF),1,3,0.6656,"{""model__C"": ""1"", ""model__gamma"": ""0.01""}"
AdaBoost,1,3,0.7639,"{""model__n_estimators"": ""50"", ""model__learning_rate"": ""0.03"", ""model__estimator__min_samples_leaf"": ""2"", ""model__estimator__max_depth"": ""1""}"
XGBoost,1,3,0.714,"{""model__subsample"": ""0.85"", ""model__scale_pos_weight"": ""1.0"", ""model__reg_lambda"": ""1.0"", ""model__n_estimators"": ""200"", ""model__min_child_weight"": ""3"", ""model__max_depth"": ""3"", ""model__learning_rate"": ""0.01"", ""model__colsample_bytree"": ""1.0""}"
LightGBM,1,3,0.7125,"{""model__subsample_freq"": ""1"", ""model__subsample"": ""0.7"", ""model__reg_lambda"": ""5.0"", ""model__num_leaves"": ""7"", ""model__n_estimators"": ""600"", ""model__min_child_samples"": ""5"", ""model__max_depth"": ""5"", ""model__learning_rate"": ""0.1"", ""model__colsample_bytree"": ""1.0""}"
Logistic Regression (L2),1,4,0.6415,"{""model__C"": ""10""}"
Elastic-Net Logistic,1,4,0.796,"{""model__C"": ""0.01"", ""model__l1_ratio"": ""0.15""}"
Random Forest,1,4,0.7312,"{""model__n_estimators"": ""200"", ""model__min_samples_split"": ""2"", ""model__min_samples_leaf"": ""3"", ""model__max_features"": ""0.5"", ""model__max_depth"": ""8""}"
Extra Trees,1,4,0.7012,"{""model__n_estimators"": ""200"", ""model__min_samples_leaf"": ""3"", ""model__max_features"": ""0.5"", ""model__max_depth"": ""None""}"
