model,threshold,net_benefit
Extra Trees,0.01,0.28525
Extra Trees,0.02,0.27796
Extra Trees,0.03,0.27051
Extra Trees,0.04,0.26291
Extra Trees,0.05,0.25577
Extra Trees,0.06,0.24835
Extra Trees,0.07,0.24046
Extra Trees,0.08,0.2329
Extra Trees,0.09,0.22473
Extra Trees,0.1,0.21637
Extra Trees,0.11,0.20928
Extra Trees,0.12,0.189
Extra Trees,0.13,0.17436
Extra Trees,0.14,0.16633
Extra Trees,0.15,0.15136
Extra Trees,0.16,0.14202
Extra Trees,0.17,0.13246
Extra Trees,0.18,0.12266
Extra Trees,0.19,0.114
Extra Trees,0.2,0.10526
Extra Trees,0.21,0.09801
Extra Trees,0.22,0.08757
Extra Trees,0.23,0.07861
Extra Trees,0.24,0.07141
Extra Trees,0.25,0.06043
Extra Trees,0.26,0.05326
Extra Trees,0.27,0.04037
Extra Trees,0.28,0.03346
Extra Trees,0.29,0.02669
Extra Trees,0.3,0.0117
Extra Trees,0.31,-0.00339
Extra Trees,0.32,-0.01273
Extra Trees,0.33,-0.03099
Extra Trees,0.34,-0.04324
Extra Trees,0.35,-0.04318
Extra Trees,0.36,-0.05154
Extra Trees,0.37,-0.05699
Extra Trees,0.38,-0.06225
Extra Trees,0.39,-0.06941
Extra Trees,0.4,-0.08187
Extra Trees,0.41,-0.09149
Extra Trees,0.42,-0.11514
Extra Trees,0.43,-0.10106
Extra Trees,0.44,-0.11404
Extra Trees,0.45,-0.12334
Extra Trees,0.46,-0.13689
Extra Trees,0.47,-0.13969
Extra Trees,0.48,-0.1354
Extra Trees,0.49,-0.15228
Extra Trees,0.5,-0.1462
Extra Trees,0.51,-0.15061
Extra Trees,0.52,-0.15497
Extra Trees,0.53,-0.1834
Extra Trees,0.54,-0.16044
Extra Trees,0.55,-0.13385
Extra Trees,0.56,-0.1664
Extra Trees,0.57,-0.14497
Extra Trees,0.58,-0.12949
Extra Trees,0.59,-0.12081
Extra Trees,0.6,-0.11696
Elastic-Net Logistic,0.01,0.28525
Elastic-Net Logistic,0.02,0.27796
Elastic-Net Logistic,0.03,0.27051
Elastic-Net Logistic,0.04,0.26291
Elastic-Net Logistic,0.05,0.25516
Elastic-Net Logistic,0.06,0.2476
Elastic-Net Logistic,0.07,0.23958
Elastic-Net Logistic,0.08,0.23188
Elastic-Net Logistic,0.09,0.22357
Elastic-Net Logistic,0.1,0.21507
Elastic-Net Logistic,0.11,0.20639
Elastic-Net Logistic,0.12,0.19165
Elastic-Net Logistic,0.13,0.17672
Elastic-Net Logistic,0.14,0.16741
Elastic-Net Logistic,0.15,0.15789
Elastic-Net Logistic,0.16,0.14341
Elastic-Net Logistic,0.17,0.13352
Elastic-Net Logistic,0.18,0.11168
Elastic-Net Logistic,0.19,0.10129
Elastic-Net Logistic,0.2,0.09211
Elastic-Net Logistic,0.21,0.08283
Elastic-Net Logistic,0.22,0.07347
Elastic-Net Logistic,0.23,0.05992
Elastic-Net Logistic,0.24,0.04463
Elastic-Net Logistic,0.25,0.03509
Elastic-Net Logistic,0.26,0.01754
Elastic-Net Logistic,0.27,0.00769
Elastic-Net Logistic,0.28,-0.00227
Elastic-Net Logistic,0.29,-0.00997
Elastic-Net Logistic,0.3,-0.02005
Elastic-Net Logistic,0.31,-0.02763
Elastic-Net Logistic,0.32,-0.03509
Elastic-Net Logistic,0.33,-0.04818
Elastic-Net Logistic,0.34,-0.06149
Elastic-Net Logistic,0.35,-0.06883
Elastic-Net Logistic,0.36,-0.0826
Elastic-Net Logistic,0.37,-0.09682
Elastic-Net Logistic,0.38,-0.11734
Elastic-Net Logistic,0.39,-0.13249
Elastic-Net Logistic,0.4,-0.14815
Elastic-Net Logistic,0.41,-0.15621
Elastic-Net Logistic,0.42,-0.16415
Elastic-Net Logistic,0.43,-0.18077
Elastic-Net Logistic,0.44,-0.17502
Elastic-Net Logistic,0.45,-0.19405
Elastic-Net Logistic,0.46,-0.19558
Elastic-Net Logistic,0.47,-0.19276
Elastic-Net Logistic,0.48,-0.19703
