feature,importance_mean,importance_sd
group,0.2402424242424242,0.043955936677099516
allerganV0,0.051603305785123954,0.013154117374679182
pain,0.03129476584022037,0.006908264852793322
depthRV0,0.019052341597796115,0.0029307773354618574
sex,0.014247933884297495,0.004175290803981991
injectionL,0.013873278236914562,0.0036610564900681126
densityV0,0.013019283746556443,0.003508569188797914
allergan2V0,0.013013774104683181,0.0042293670482819795
totalinjectionV1,0.011316804407713488,0.003289694540980067
age,0.010308539944903565,0.0020146689400318976
volumeRV0,0.010292011019283712,0.002179869458364945
volumeLV0,0.00904132231404956,0.0015506387613713078
depthLV0,0.008231404958677668,0.003556959250576412
areaRV0,0.008121212121212095,0.0018354964854258315
areaLV0,0.00650688705234157,0.0016062188941461512
injectionR,0.0060385674931129115,0.0020201986810223626
thicknessV0,0.005360881542699699,0.002057251877415902
