feature,importance_mean,importance_sd
satisfactionV3,0.30315426997245176,0.04633860091849306
depthLV0,0.010057851239669353,0.007305746169947127
depthLV3,0.007487603305785047,0.004278278600354982
allerganV3,0.0074738292011018595,0.003204415718384396
depthLV2,0.0062203856749310504,0.004708516864437586
satisfactionV2,0.003691460055096359,0.006432220780442401
allerganV2,0.0014820936639118024,0.0008823859603158832
allergan2V0,0.0,0.0
age,0.0,0.0
group,0.0,0.0
allerganV0,0.0,0.0
sex,0.0,0.0
areaRV0,0.0,0.0
densityV0,0.0,0.0
injectionR,0.0,0.0
totalinjectionV1,0.0,0.0
depthRV0,0.0,0.0
areaLV0,0.0,0.0
volumeLV0,0.0,0.0
thicknessV0,0.0,0.0
volumeRV0,0.0,0.0
areaRV2,0.0,0.0
depthRV2,0.0,0.0
allergan2V2,0.0,0.0
pain,0.0,0.0
injectionL,0.0,0.0
areaLV2,0.0,0.0
volumeLV2,0.0,0.0
volumeRV2,0.0,0.0
thicknessV2,0.0,0.0
densityV2,0.0,0.0
allergan2V3,0.0,0.0
depthRV3,0.0,0.0
volumeRV3,0.0,0.0
areaRV3,0.0,0.0
areaLV3,0.0,0.0
volumeLV3,0.0,0.0
