feature,mean_abs_shap
group_mizan,0.03529173465052948
group_stylux,0.025518219511175652
group_pouya,0.02406799910969786
allerganV0,0.020483394883108037
group_perjuns,0.01821294941527192
pain,0.01212136277457221
allergan2V0,0.00889977771567002
depthRV0,0.006414857398782522
injectionL,0.005972411034890852
totalinjectionV1,0.0057535525575747315
group_lonagel,0.00508657485737433
densityV0,0.005053229538174825
group_w&o,0.0042158808606362905
depthLV0,0.004186522624407592
injectionR,0.003867269719693815
volumeRV0,0.0032122700953008784
volumeLV0,0.003049190172925523
areaLV0,0.002405961743936064
thicknessV0,0.0020437818467240253
age,0.0018628463997787314
areaRV0,0.001707953859907113
sex_male,0.001479847603291704
sex_female,0.0014010277252647155
group_nuxiwell,0.0012500266435263386
