feature,mean_abs_shap
satisfactionV3,0.1541288770436217
allerganV3,0.015280280906849807
depthL__dV2_V0,0.009582477622986085
depthL__rV3_V0,0.00954524786550244
volumeR__rV3_V0,4.508739061116609e-16
satisfactionV2,3.804826823975797e-16
volumeLV2,3.6123881663741033e-16
areaLV3,3.476694241142139e-16
areaR__dV3_V2,3.4603492910573803e-16
densityV0,3.456494349999654e-16
pain,3.4251922286109175e-16
allergan2V0,3.421260188732036e-16
allergan2V3,2.5553633283455687e-16
depthLV2,2.541793935822372e-16
volumeL__dV3_V0,2.361768188426557e-16
depthRV3,2.3440354595610166e-16
age,2.1903775090000484e-16
areaLV2,2.189298125503885e-16
volumeL__rV3_V0,2.1788126858268696e-16
depthL__dV3_V0,1.8984813721090176e-16
areaRV3,1.2782984547420207e-16
volumeLV3,1.2781442570997116e-16
areaR__rV3_V0,1.2781442570997116e-16
thickness__dV2_V0,1.2779900594574023e-16
volumeR__dV3_V0,1.2779900594574023e-16
thicknessV0,1.2779900594574023e-16
group_nuxiwell,1.2779900594574023e-16
thicknessV2,1.2778358618150934e-16
areaRV2,1.2778358618150934e-16
depthL__dV3_V2,1.2505428791263916e-16
allergan__dV3_V2,1.2505428791263916e-16
allergan__dV2_V0,1.2503886814840825e-16
volumeLV0,1.2503886814840825e-16
group_stylux,1.2503886814840825e-16
group_lonagel,1.2503886814840825e-16
allergan__rV3_V0,1.2503886814840825e-16
totalinjectionV1,1.2337353361147053e-16
areaR__dV3_V0,1.0952658533211786e-16
areaRV0,1.0951116556788698e-16
volumeRV0,1.0951116556788698e-16
depthRV2,1.0941864698250155e-16
volumeR__dV3_V2,1.0941864698250155e-16
volumeR__dV2_V0,1.0937238768980883e-16
areaL__dV3_V2,1.0937238768980883e-16
depthRV0,1.0872475759211083e-16
densityV2,1.083546832505691e-16
volumeRV3,1.0834697336845363e-16
areaR__dV2_V0,1.0834697336845363e-16
depthR__dV3_V2,1.0834697336845363e-16
density__dV2_V0,1.0796918914479648e-16
injectionR,0.0
allerganV0,0.0
injectionL,0.0
areaLV0,0.0
depthLV0,0.0
depthLV3,0.0
volumeRV2,0.0
allergan2V2,0.0
allerganV2,0.0
allergan2__dV3_V2,0.0
allergan2__dV3_V0,0.0
allergan2__dV2_V0,0.0
allergan__dV3_V0,0.0
depthR__rV3_V0,0.0
depthR__dV3_V0,0.0
depthR__dV2_V0,0.0
allergan2__rV3_V0,0.0
areaL__rV3_V0,0.0
areaL__dV3_V0,0.0
areaL__dV2_V0,0.0
volumeL__dV3_V2,0.0
satisfaction__dV3_V2,0.0
volumeL__dV2_V0,0.0
group_perjuns,0.0
group_mizan,0.0
group_pouya,0.0
group_w&o,0.0
sex_female,0.0
sex_male,0.0
