auc,average_precision,brier,accuracy,balanced_accuracy,f1,mcc,sensitivity,specificity,ppv,npv,model,imputation,fold
0.864,0.6785973084886128,0.221421870237906,0.7714285714285715,0.66,0.5,0.3835706411883073,0.4,0.92,0.6666666666666666,0.7931034482758621,Elastic-Net Logistic,1,1
0.804,0.527536231884058,0.17907289018669623,0.7714285714285715,0.66,0.5,0.3835706411883073,0.4,0.92,0.6666666666666666,0.7931034482758621,AdaBoost,1,1
0.8280000000000001,0.5642224442224443,0.17749382555484772,0.6857142857142857,0.48,0.0,-0.10846522890932808,0.0,0.96,0.0,0.7058823529411765,XGBoost,1,1
0.812,0.5371114506408624,0.17464745169850993,0.6857142857142857,0.51,0.15384615384615385,0.032274861218395144,0.1,0.92,0.3333333333333333,0.71875,Random Forest,1,1
0.6400000000000001,0.5009263362085943,0.24359418435205837,0.6285714285714286,0.62,0.48,0.21908902300206642,0.6,0.64,0.4,0.8,Logistic Regression (L2),1,1
0.7600000000000001,0.5885647195941314,0.17888822541591273,0.7428571428571429,0.55,0.18181818181818182,0.2711630722733202,0.1,1.0,1.0,0.7352941176470589,SVM (RBF),1,1
0.73125,0.5594789494131599,0.22533950406020956,0.6764705882352942,0.625,0.47619047619047616,0.243492376778837,0.5,0.75,0.45454545454545453,0.782608695652174,Elastic-Net Logistic,1,2
0.73125,0.44866140395552156,0.1884052826098723,0.6764705882352942,0.5958333333333333,0.42105263157894735,0.1979524821394902,0.4,0.7916666666666666,0.4444444444444444,0.76,AdaBoost,1,2
0.6666666666666666,0.5029347041847042,0.19580721855163574,0.6470588235294118,0.5166666666666667,0.25,0.03984095364447979,0.2,0.8333333333333334,0.3333333333333333,0.7142857142857143,XGBoost,1,2
0.6625,0.41964818987065067,0.2045652432783391,0.6470588235294118,0.5458333333333333,0.3333333333333333,0.09846579518042202,0.3,0.7916666666666666,0.375,0.7307692307692307,Random Forest,1,2
0.7208333333333333,0.6478461634983375,0.2380041888862842,0.7352941176470589,0.6958333333333333,0.5714285714285714,0.3814713902868446,0.6,0.7916666666666666,0.5454545454545454,0.8260869565217391,Logistic Regression (L2),1,2
0.5375000000000001,0.42035510642321783,0.21098814042697786,0.7058823529411765,0.5,0.0,0.0,0.0,1.0,,0.7058823529411765,SVM (RBF),1,2
0.875,0.745376559714795,0.18006248201757152,0.7647058823529411,0.8041666666666667,0.6923076923076923,0.5553298152482934,0.9,0.7083333333333334,0.5625,0.9444444444444444,Elastic-Net Logistic,1,3
0.78125,0.4969230769230769,0.16699895298902814,0.7352941176470589,0.725,0.6086956521739131,0.42192650784464586,0.7,0.75,0.5384615384615384,0.8571428571428571,AdaBoost,1,3
0.7333333333333334,0.5953356632459017,0.17280824482440948,0.7352941176470589,0.6083333333333333,0.4,0.27874925905782666,0.3,0.9166666666666666,0.6,0.7586206896551724,XGBoost,1,3
0.775,0.5683561607474651,0.17455289478389907,0.7352941176470589,0.725,0.6086956521739131,0.42192650784464586,0.7,0.75,0.5384615384615384,0.8571428571428571,Random Forest,1,3
0.8708333333333333,0.6518559218559219,0.20875802629922185,0.7647058823529411,0.775,0.6666666666666666,0.5092010548749033,0.8,0.75,0.5714285714285714,0.9,Logistic Regression (L2),1,3
0.20833333333333331,0.2071721622207538,0.21653499437735513,0.7058823529411765,0.5,0.0,0.0,0.0,1.0,,0.7058823529411765,SVM (RBF),1,3
0.9062499999999999,0.8642917267917267,0.22804045905264325,0.6470588235294118,0.7208333333333333,0.6,0.4089038773995436,0.9,0.5416666666666666,0.45,0.9285714285714286,Elastic-Net Logistic,1,4
0.71875,0.4394827586206897,0.18060944657822214,0.7058823529411765,0.5,0.0,0.0,0.0,1.0,,0.7058823529411765,AdaBoost,1,4
0.7416666666666667,0.593116883116883,0.18129874765872955,0.7352941176470589,0.5791666666666667,0.3076923076923077,0.2543527874857913,0.2,0.9583333333333334,0.6666666666666666,0.7419354838709677,XGBoost,1,4
0.6291666666666668,0.37357935279374904,0.2084176653346365,0.6176470588235294,0.5541666666666667,0.38095238095238093,0.10551336327082937,0.4,0.7083333333333334,0.36363636363636365,0.7391304347826086,Random Forest,1,4
0.6041666666666667,0.43563574905486674,0.3407595528104568,0.6176470588235294,0.6416666666666666,0.5185185185185185,0.2581988897471611,0.7,0.5833333333333334,0.4117647058823529,0.8235294117647058,Logistic Regression (L2),1,4
0.32916666666666666,0.2712398886120096,0.21395944115297114,0.7058823529411765,0.5,0.0,0.0,0.0,1.0,,0.7058823529411765,SVM (RBF),1,4
0.74375,0.5150528611694314,0.22673269560428003,0.7941176470588235,0.7083333333333333,0.5882352941176471,0.4695301415158425,0.5,0.9166666666666666,0.7142857142857143,0.8148148148148148,Elastic-Net Logistic,1,5
0.75,0.5196602119108513,0.17582131553871116,0.7058823529411765,0.5,0.0,0.0,0.0,1.0,,0.7058823529411765,AdaBoost,1,5
0.6166666666666667,0.4257839858688755,0.22469887137413025,0.5882352941176471,0.5625,0.4166666666666667,0.11572751247156894,0.5,0.625,0.35714285714285715,0.75,XGBoost,1,5
0.6041666666666666,0.3962337662337662,0.2139229590915603,0.6470588235294118,0.4875,0.14285714285714285,-0.035355339059327376,0.1,0.875,0.25,0.7,Random Forest,1,5
0.5958333333333333,0.372893186865214,0.24211806725636595,0.6470588235294118,0.5458333333333333,0.3333333333333333,0.09846579518042202,0.3,0.7916666666666666,0.375,0.7307692307692307,Logistic Regression (L2),1,5
0.5708333333333333,0.4307513849212141,0.21192363701002587,0.6764705882352942,0.5083333333333333,0.15384615384615385,0.026773977630083295,0.1,0.9166666666666666,0.3333333333333333,0.7096774193548387,SVM (RBF),1,5
0.86,0.6731860530773573,0.22162218138986686,0.7714285714285715,0.66,0.5,0.3835706411883073,0.4,0.92,0.6666666666666666,0.7931034482758621,Elastic-Net Logistic,2,1
0.804,0.527536231884058,0.17907289018669623,0.7714285714285715,0.66,0.5,0.3835706411883073,0.4,0.92,0.6666666666666666,0.7931034482758621,AdaBoost,2,1
0.8280000000000001,0.5712212349054454,0.1781120002269745,0.6857142857142857,0.48,0.0,-0.10846522890932808,0.0,0.96,0.0,0.7058823529411765,XGBoost,2,1
0.8160000000000001,0.5594208803415965,0.17172316751611402,0.7428571428571429,0.61,0.4,0.28401877872187725,0.3,0.92,0.6,0.7666666666666667,Random Forest,2,1
0.724,0.5648019854541594,0.21427722734479862,0.6857142857142857,0.63,0.47619047619047616,0.25301215685249495,0.5,0.76,0.45454545454545453,0.7916666666666666,Logistic Regression (L2),2,1
0.7600000000000001,0.5885647195941314,0.17945847158053718,0.7428571428571429,0.55,0.18181818181818182,0.2711630722733202,0.1,1.0,1.0,0.7352941176470589,SVM (RBF),2,1
0.7020833333333334,0.5389298818942782,0.22943833306067093,0.6470588235294118,0.6041666666666667,0.45454545454545453,0.19863803942616506,0.5,0.7083333333333334,0.4166666666666667,0.7727272727272727,Elastic-Net Logistic,2,2
0.7104166666666667,0.42782807062218825,0.18824820930862615,0.6764705882352942,0.5958333333333333,0.42105263157894735,0.1979524821394902,0.4,0.7916666666666666,0.4444444444444444,0.76,AdaBoost,2,2
0.6625,0.4484103889613634,0.19771893322467804,0.6470588235294118,0.5166666666666667,0.25,0.03984095364447979,0.2,0.8333333333333334,0.3333333333333333,0.7142857142857143,XGBoost,2,2
0.6625,0.4346088706615022,0.20730251541996253,0.6764705882352942,0.625,0.47619047619047616,0.243492376778837,0.5,0.75,0.45454545454545453,0.782608695652174,Random Forest,2,2
0.7208333333333333,0.6478461634983375,0.23861291897491127,0.6764705882352942,0.6541666666666667,0.5217391304347826,0.2890977924120722,0.6,0.7083333333333334,0.46153846153846156,0.8095238095238095,Logistic Regression (L2),2,2
0.5208333333333334,0.4120879311320488,0.2110391244523175,0.7058823529411765,0.5,0.0,0.0,0.0,1.0,,0.7058823529411765,SVM (RBF),2,2
0.8708333333333332,0.7370432263814616,0.17947585089255272,0.7647058823529411,0.8041666666666667,0.6923076923076923,0.5553298152482934,0.9,0.7083333333333334,0.5625,0.9444444444444444,Elastic-Net Logistic,2,3
0.78125,0.4969230769230769,0.16699895298902814,0.7352941176470589,0.725,0.6086956521739131,0.42192650784464586,0.7,0.75,0.5384615384615384,0.8571428571428571,AdaBoost,2,3
0.7291666666666666,0.5923940886227413,0.17168177664279938,0.7058823529411765,0.5583333333333333,0.2857142857142857,0.1649915822768611,0.2,0.9166666666666666,0.5,0.7333333333333333,XGBoost,2,3
0.8125,0.6569264069264069,0.17308773633437602,0.7352941176470589,0.725,0.6086956521739131,0.42192650784464586,0.7,0.75,0.5384615384615384,0.8571428571428571,Random Forest,2,3
0.875,0.6641485342143236,0.20838246450947295,0.7647058823529411,0.775,0.6666666666666666,0.5092010548749033,0.8,0.75,0.5714285714285714,0.9,Logistic Regression (L2),2,3
